name,base_data,new_data
github.com/containerd/containerd,['v1.5.2' '(devel)' 'v1.6.6' 'v1.5.9'],[]
github.com/containerd/stargz-snapshotter/estargz,['v0.11.3'],[]
github.com/coreos/go-oidc/v3,['v3.2.0'],[]
github.com/cyberphone/json-canonicalization,['v0.0.0-20210303052042-6bc126869bf4'],[]
github.com/docker/cli,['v20.10.12+incompatible' 'v20.10.3-0.20220803220330-418ca3b4d46f+incompatible'],[]
github.com/docker/distribution,['v2.8.0+incompatible'],[]
github.com/docker/docker,['v20.10.13+incompatible' 'v20.10.3-0.20220720171342-a60b458179aa+incompatible'],[]
github.com/dsnet/compress,['v0.0.1'],[]
github.com/fsnotify/fsnotify,['v1.5.1' 'v1.4.9'],[]
github.com/go-logr/logr,['v1.0.0' 'v1.2.2'],[]
github.com/go-openapi/analysis,['v0.21.2' 'v0.20.0'],[]
github.com/go-openapi/errors,['v0.19.9' 'v0.20.2'],[]
github.com/go-openapi/jsonpointer,['v0.19.3'],[]
github.com/go-openapi/jsonreference,['v0.19.6' 'v0.19.5' 'v0.19.3'],[]
github.com/go-openapi/loads,['v0.21.1' 'v0.20.2'],[]
github.com/go-openapi/runtime,['v0.19.24'],[]
github.com/go-openapi/spec,['v0.20.4' 'v0.19.5' 'v0.20.6' 'v0.20.3'],[]
github.com/go-openapi/strfmt,['v0.20.0'],[]
github.com/go-openapi/swag,['v0.19.15' 'v0.19.6' 'v0.19.14' 'v0.21.1'],[]
github.com/go-openapi/validate,['v0.21.0' 'v0.20.2'],[]
github.com/go-playground/validator/v10,['v10.10.0'],[]
github.com/golang-jwt/jwt/v4,['v4.0.0' 'v4.2.0' 'v4.3.0'],[]
github.com/golang/glog,['v0.0.0-20160126235308-23def4e6c14b'],[]
github.com/golang/groupcache,['v0.0.0-20191027212112-611e8accdfc9'],[]
github.com/golang/protobuf,['v1.3.5'],[]
github.com/google/certificate-transparency-go,['v1.1.2-0.20210512142713-bed466244fa6'],[]
github.com/google/go-cmp,['v0.5.6' 'v0.4.0' 'v0.5.7' 'v0.5.8'],[]
github.com/google/go-containerregistry,['v0.8.1-0.20220209165246-a44adc326839' 'v0.9.0'],[]
github.com/google/gofuzz,['v1.1.0'],[]
github.com/google/trillian,['v1.4.1'],[]
github.com/google/uuid,['v1.1.1' 'v1.2.0'],[]
github.com/googleapis/gnostic,['v0.3.1' 'v0.4.1'],[]
github.com/hashicorp/errwrap,['v1.0.0'],[]
github.com/hashicorp/go-multierror,['v1.0.0'],[]
github.com/hashicorp/go-retryablehttp,['v0.7.0'],[]
github.com/imdario/mergo,['v0.3.13' 'v0.3.11' 'v0.3.8'],[]
github.com/in-toto/in-toto-golang,['v0.3.4-0.20211211042327-af1f9fb822bf'],[]
github.com/jedisct1/go-minisign,['v0.0.0-20210703085342-c1f07ee84431'],[]
github.com/jmespath/go-jmespath,['v0.0.0-20180206201540-c2b33e8439af'],[]
github.com/json-iterator/go,['v1.1.11' 'v1.1.9'],[]
github.com/klauspost/compress,['v1.11.2' 'v1.15.1' 'v1.15.8' 'v1.13.5' 'v1.15.7' 'v1.11.13'],[]
github.com/letsencrypt/boulder,['v0.0.0-20220331220046-b23ab962616e'],[]
github.com/magiconair/properties,['v1.8.5'],[]
github.com/mailru/easyjson,['v0.7.6' 'v0.7.0'],[]
github.com/mattn/go-colorable,['v0.1.2' 'v0.1.8'],[]
