name,version,licenses
libwayland-server0,['1.16.0-1ubuntu1.1~18.04.3'],['[X11]']
libwmf-dev,['0.2.8.4-12'],['[LGPL-2]']
libwmf0.2-7,['0.2.8.4-12'],['[LGPL-2]']
libx11-xcb1,['2:1.6.4-3ubuntu0.4'],['[]']
libxapian30,['1.4.5-1ubuntu0.1'],['[GPL-2]']
libxaw7,['2:1.0.13-1'],['[]']
libxcb-dri2-0,['1.13-2~ubuntu18.04'],['[]']
libxcb-dri3-0,['1.13-2~ubuntu18.04'],['[]']
libxcb-glx0,['1.13-2~ubuntu18.04'],['[]']
libxcb-present0,['1.13-2~ubuntu18.04'],['[]']
libxcb-render0,['1.13-2~ubuntu18.04'],['[]']
libxcb-render0-dev,['1.13-2~ubuntu18.04'],['[]']
libxcb-shape0,['1.13-2~ubuntu18.04'],['[]']
libxcb-shm0,['1.13-2~ubuntu18.04'],['[]']
libxcb-shm0-dev,['1.13-2~ubuntu18.04'],['[]']
libxcb-sync1,['1.13-2~ubuntu18.04'],['[]']
libxcb-util1,['0.4.0-0ubuntu3'],['[GPL-2 GPL-2+ MIT/X]']
libxcb-xfixes0,['1.13-2~ubuntu18.04'],['[]']
libxcomposite1,['1:0.4.4-2'],['[]']
libxcursor1,['1:1.1.15-1'],['[]']
libxdamage1,['1:1.1.4-3'],['[]']
libxfixes3,['1:5.0.3-1'],['[]']
libxfont2,['1:2.0.3-1'],['[]']
libxinerama1,['2:1.1.3-1'],['[]']
libxkbcommon0,['0.8.2-1~ubuntu18.04.1'],['[]']
libxkbfile1,['1:1.0.9-2'],['[]']
libxmlsec1,['1.2.25-1build1'],['[]']
libxmlsec1-openssl,['1.2.25-1build1'],['[]']
libxmu6,['2:1.1.2-2'],['[]']
libxrandr2,['2:1.5.1-1'],['[]']
libxshmfence1,['1.3-1'],['[]']
libxv1,['2:1.0.11-1'],['[]']
libxxf86dga1,['2:1.1.4-1'],['[]']
libxxf86vm1,['1:1.1.4-1'],['[]']
lines-and-columns,['1.1.6'],['[]']
linkify-it,['2.2.0'],['[]']
linux-firmware,['1.173.21'],['[]']
linux-gcp-5.4-headers-5.4.0-1087,['5.4.0-1087.95~18.04.1'],['[GPL-2]']
linux-image-4.15.0-192-generic,['4.15.0-192.203'],['[GPL-2]']
linux-image-5.4.0-1087-gcp,['5.4.0-1087.95~18.04.1'],['[GPL-2]']
linux-image-gcp,['5.4.0.1087.66'],['[GPL]']
linux-image-generic,['4.15.0.192.177'],['[GPL]']
linux-modules-4.15.0-192-generic,['4.15.0-192.203'],['[GPL-2]']
linux-modules-5.4.0-1087-gcp,['5.4.0-1087.95~18.04.1'],['[GPL-2]']
linux-modules-extra-4.15.0-192-generic,['4.15.0-192.203'],['[GPL-2]']
linux-modules-extra-5.4.0-1087-gcp,['5.4.0-1087.95~18.04.1'],['[GPL-2]']
listen,['3.7.0'],['[]']
load-json-file,['5.3.0' '6.2.0'],['[MIT]']
local_policy,[nan],['[]']
localedata,[nan],['[]']
locate-path,['5.0.0' '2.0.0'],['[]']
lockfile-progs,['0.1.17build1'],['[GPL]']
lodash,['4.17.20' '4.17.21' '4.17.19'],['[]' '[MIT]']
lodash._reinterpolate,['3.0.0'],['[MIT]']
lodash.camelcase,['4.3.0'],['[]']
lodash.defaults,['4.2.0'],['[MIT]']
lodash.find,['4.6.0'],['[MIT]']
lodash.flatten,['4.4.0'],['[MIT]']
lodash.get,['4.4.2'],['[]']
lodash.kebabcase,['4.1.1'],['[]']
lodash.keyby,['4.6.0'],['[MIT]']
lodash.max,['4.0.1'],['[MIT]']
lodash.merge,['4.6.2'],['[MIT]']
lodash.padstart,['4.6.1'],['[MIT]']
lodash.repeat,['4.1.0'],['[MIT]']
lodash.snakecase,['4.1.1'],['[]']
lodash.sortby,['4.7.0'],['[MIT]']
lodash.template,['4.5.0'],['[MIT]']
lodash.templatesettings,['4.2.0'],['[MIT]']
lodash.unescape,['4.0.1'],['[]']
lodash.upperfirst,['4.3.1'],['[]']
lodash.zip,['4.2.0'],['[]']
log-chopper,['1.0.2'],['[ISC]']
log4j-1.2-api,['2.17.1'],['[]']
log4j-api,['2.17.1'],['[]']
log4j-core,['2.17.1'],['[]']
log4j-over-slf4j,['1.7.30'],['[]']
log4j-slf4j-impl,['2.17.1'],['[]']
logrotate,['3.11.0-0.1ubuntu1'],['[GPL-2]']
lolex,['4.2.0'],['[]']
lowercase-keys,['1.0.1' '1.0.0'],['[MIT]']
lru-cache,['6.0.0'],['[ISC]' '[]']
lucene-analyzers-common,['8.10.1'],['[]']
lucene-backward-codecs,['8.10.1'],['[]']
lucene-core,['8.10.1'],['[]']
lucene-expressions,['8.10.1'],['[]']
lucene-grouping,['8.10.1'],['[]']
lucene-highlighter,['8.10.1'],['[]']
lucene-join,['8.10.1'],['[]']
lucene-memory,['8.10.1'],['[]']
lucene-misc,['8.10.1'],['[]']
lucene-queries,['8.10.1'],['[]']
lucene-queryparser,['8.10.1'],['[]']
lucene-sandbox,['8.10.1'],['[]']
lucene-spatial-extras,['8.10.1'],['[]']
lucene-spatial3d,['8.10.1'],['[]']
lucene-suggest,['8.10.1'],['[]']
lz4-java,['1.8.0'],['[]']
make-dir,['3.0.0' '1.3.0'],['[]']
make-error,['1.3.5'],['[]']
makedev,['2.3.1-93ubuntu2'],['[GPL]']
management-agent,[nan],['[]']
map-cache,['0.2.2'],['[]']
map-visit,['1.0.0'],['[]']
mapbox-vector-tile,['3.1.0'],['[]']
mapper-extras-client,['7.16.3'],['[]']
mapper-version,['7.16.3'],['[]']
markdown-it,['10.0.0'],['[]']
maven-resolver-transport-file,['1.3.3'],['[]']
maven-resolver-transport-http,['1.3.3'],['[]']
maxmind-db,['1.3.1'],['[]']
maze.io/x/crypto,['v0.0.0-20190131090603-9b94c9afe066'],['[]']
mdurl,['1.0.1'],['[]']
memcached,['1.5.6-0ubuntu1.2'],['[BSD-3-clause GPL-2]']
merge2,['1.4.1' '1.3.0'],['[]']
metrics-core,['3.2.2'],['[]']
micromatch,['4.0.2' '3.1.10'],['[MIT]']
mime,['1.6.0'],['[]']
mimic-fn,['1.2.0' '2.1.0'],['[MIT]']
mimic-response,['1.0.1' '2.1.0'],['[]' '[MIT]']
mingw-w64,['5.0.3-1'],['[BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Lockless BSD-3-clause-MinGW-w64 Cygwin David-Gay GPL-2 GPL-2+ GPL-3 GPL-3+ ISC Keith-Marshall LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ Lucent Permissive-Sun ZPL-2.1 expat public-domain public-domain-Vizzini]']
mingw-w64-common,['5.0.3-1'],['[BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Lockless BSD-3-clause-MinGW-w64 Cygwin David-Gay GPL-2 GPL-2+ GPL-3 GPL-3+ ISC Keith-Marshall LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ Lucent Permissive-Sun ZPL-2.1 expat public-domain public-domain-Vizzini]']
mingw-w64-i686-dev,['5.0.3-1'],['[BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Lockless BSD-3-clause-MinGW-w64 Cygwin David-Gay GPL-2 GPL-2+ GPL-3 GPL-3+ ISC Keith-Marshall LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ Lucent Permissive-Sun ZPL-2.1 expat public-domain public-domain-Vizzini]']
mingw-w64-x86-64-dev,['5.0.3-1'],['[BSD-2-clause-NetBSD BSD-3-clause BSD-3-clause-Lockless BSD-3-clause-MinGW-w64 Cygwin David-Gay GPL-2 GPL-2+ GPL-3 GPL-3+ ISC Keith-Marshall LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ Lucent Permissive-Sun ZPL-2.1 expat public-domain public-domain-Vizzini]']
minimatch,['3.0.4'],['[ISC]' '[]']
minimist,['0.0.8' '1.2.5'],['[]' '[MIT]']
minitest,['5.14.4'],['[]']
minlog,['1.2'],['[]']
minst,['1.8.0_242'],['[]']
mixin-deep,['1.3.2'],['[]']
mkdirp,['0.5.1'],['[]' '[MIT]']
mkdirp-classic,['0.5.3'],['[]' '[MIT]']
mocha,['5.2.0'],['[]']
mock,['3.0.5' '4.0.3' '2.0.0'],['[OSI Approved :: BSD License]' '[UNKNOWN]' '[]']
mock-stdin,['0.3.1'],['[]']
module-init-tools,['24-1ubuntu3.5'],['[]']
mokutil,['0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1'],['[GPL-3 GPL-3+]']
